Fecha,Último,Apertura,Máximo,Mínimo,Vol.,% var.
20.05.2022,"4,190.00","4,230.00","4,230.00","4,190.00",48.04K,0.72%
19.05.2022,"4,160.00","4,160.00","4,165.00","4,160.00",153.51K,-0.24%
18.05.2022,"4,170.00","4,195.00","4,195.00","4,157.00",270.92K,-0.48%
17.05.2022,"4,190.00","4,200.00","4,200.00","4,157.00",110.70K,-0.45%
16.05.2022,"4,209.00","4,155.00","4,209.00","4,155.00",15.90K,1.30%
13.05.2022,"4,155.00","4,173.00","4,173.00","4,155.00",132.92K,-0.31%
12.05.2022,"4,168.00","4,200.00","4,250.00","4,165.00",213.12K,0.41%
11.05.2022,"4,151.00","4,168.00","4,170.00","4,151.00",54.86K,-1.17%
10.05.2022,"4,200.00","4,162.00","4,299.00","4,161.00",127.08K,-0.45%
09.05.2022,"4,219.00","4,179.00","4,288.00","4,161.00",71.32K,0.93%
06.05.2022,"4,180.00","4,260.00","4,260.00","4,180.00",90.26K,-0.24%
05.05.2022,"4,190.00","4,250.00","4,250.00","4,190.00",84.83K,0.22%
04.05.2022,"4,181.00","4,160.00","4,266.00","4,160.00",85.14K,0.48%
03.05.2022,"4,161.00","4,217.00","4,220.00","4,152.00",193.75K,-0.93%
02.05.2022,"4,200.00","4,272.00","4,272.00","4,200.00",137.99K,-1.64%
29.04.2022,"4,270.00","4,365.00","4,365.00","4,270.00",70.40K,-1.88%
28.04.2022,"4,352.00","4,291.00","4,352.00","4,251.00",209.10K,1.45%
27.04.2022,"4,290.00","4,300.00","4,305.00","4,256.00",170.85K,0.00%
25.04.2022,"4,290.00","4,266.00","4,300.00","4,250.00",424.80K,0.47%
22.04.2022,"4,270.00","4,310.00","4,310.00","4,262.00",189.21K,0.21%
21.04.2022,"4,261.00","4,300.00","4,338.00","4,250.00",735.43K,-0.21%
20.04.2022,"4,270.00","4,300.00","4,300.00","4,251.00",53.56K,-0.70%
19.04.2022,"4,300.00","4,260.00","4,300.00","4,250.00",310.48K,0.68%
18.04.2022,"4,271.00","4,365.00","4,365.00","4,271.00",72.86K,-2.15%
13.04.2022,"4,365.00","4,365.00","4,365.00","4,285.00",58.13K,-0.02%
12.04.2022,"4,366.00","4,410.00","4,410.00","4,365.00",137.91K,-0.32%
11.04.2022,"4,380.00","4,380.00","4,380.00","4,300.00",26.26K,0.00%
08.04.2022,"4,380.00","4,363.00","4,383.00","4,363.00",957.42K,0.32%
07.04.2022,"4,366.00","4,383.00","4,417.00","4,366.00",111.18K,-0.34%
06.04.2022,"4,381.00","4,385.00","4,400.00","4,381.00",204.76K,-0.43%
05.04.2022,"4,400.00","4,460.00","4,460.00","4,400.00",133.04K,0.00%
04.04.2022,"4,400.00","4,424.00","4,425.00","4,363.00",245.06K,-0.07%
01.04.2022,"4,403.00","4,417.00","4,417.00","4,370.00",118.03K,0.99%
31.03.2022,"4,360.00","4,420.00","4,420.00","4,360.00",25.49K,-1.54%
30.03.2022,"4,428.00","4,428.00","4,430.00","4,428.00",88.23K,0.64%
29.03.2022,"4,400.00","4,415.00","4,469.00","4,370.00",252.40K,0.00%
28.03.2022,"4,400.00","4,400.00","4,420.00","4,395.00",841.63K,0.11%
25.03.2022,"4,395.00","4,378.00","4,395.00","4,365.00",269.39K,0.39%
24.03.2022,"4,378.00","4,390.00","4,394.00","4,361.00",1.13M,-0.39%
23.03.2022,"4,395.00","4,360.00","4,395.00","4,358.00",71.43K,1.60%
22.03.2022,"4,326.00","4,360.00","4,395.00","4,326.00",43.74K,-0.78%
18.03.2022,"4,360.00","4,399.00","4,399.00","4,320.00",247.74K,1.16%
17.03.2022,"4,310.00","4,330.00","4,350.00","4,293.00",58.27K,-0.35%
16.03.2022,"4,325.00","4,290.00","4,430.00","4,289.00",1.47M,-1.44%
15.03.2022,"4,388.00","4,330.00","4,388.00","4,329.00",157.09K,3.00%
14.03.2022,"4,260.00","4,320.00","4,330.00","4,260.00",88.11K,-0.93%
11.03.2022,"4,300.00","4,260.00","4,310.00","4,260.00",231.82K,0.94%
10.03.2022,"4,260.00","4,290.00","4,300.00","4,212.00",226.80K,-1.16%
09.03.2022,"4,310.00","4,290.00","4,318.00","4,245.00",213.58K,1.25%
08.03.2022,"4,257.00","4,249.00","4,270.00","4,223.00",309.37K,0.76%
07.03.2022,"4,225.00","4,175.00","4,252.00","4,175.00",249.28K,1.56%
