Fecha,Último,Apertura,Máximo,Mínimo,Vol.,% var.
20.05.2022,"2,350.00","2,342.00","2,389.00","2,332.00","1,34M",1.73%
19.05.2022,"2,310.00","2,395.00","2,395.00","2,301.00","1,01M",-3.75%
18.05.2022,"2,400.00","2,440.00","2,450.00","2,393.00","1,82M",-1.23%
17.05.2022,"2,430.00","2,410.00","2,434.00","2,410.00","1,86M",1.25%
16.05.2022,"2,400.00","2,363.00","2,400.00","2,361.00","2,23M",2.13%
13.05.2022,"2,350.00","2,390.00","2,435.00","2,350.00","703,57K",-0.42%
12.05.2022,"2,360.00","2,340.00","2,400.00","2,340.00","928,74K",1.33%
11.05.2022,"2,329.00","2,393.00","2,395.00","2,322.00","1,42M",-0.04%
10.05.2022,"2,330.00","2,410.00","2,420.00","2,330.00","1,30M",-2.51%
09.05.2022,"2,390.00","2,450.00","2,470.00","2,390.00","1,43M",-2.45%
06.05.2022,"2,450.00","2,480.00","2,490.00","2,450.00","1,16M",-1.29%
05.05.2022,"2,482.00","2,510.00","2,515.00","2,481.00","868,97K",-1.12%
04.05.2022,"2,510.00","2,498.00","2,510.00","2,475.00","1,06M",0.80%
03.05.2022,"2,490.00","2,513.00","2,514.00","2,480.00","1,49M",-1.19%
29.04.2022,"2,520.00","2,507.00","2,530.00","2,491.00","234,23K",1.20%
28.04.2022,"2,490.00","2,495.00","2,520.00","2,490.00","510,79K",-0.20%
27.04.2022,"2,495.00","2,530.00","2,550.00","2,495.00","1,29M",-1.85%
26.04.2022,"2,542.00","2,581.00","2,605.00","2,542.00","1,10M",-1.47%
25.04.2022,"2,580.00","2,600.00","2,620.00","2,580.00","3,61M",-1.04%
22.04.2022,"2,607.00","2,556.00","2,607.00","2,556.00","1,32M",2.00%
21.04.2022,"2,556.00","2,540.00","2,589.00","2,540.00","1,60M",-0.16%
20.04.2022,"2,560.00","2,505.00","2,560.00","2,505.00","1,08M",1.99%
19.04.2022,"2,510.00","2,465.00","2,510.00","2,462.00","1,36M",1.62%
18.04.2022,"2,470.00","2,490.00","2,490.00","2,470.00","852,85K",-0.40%
13.04.2022,"2,480.00","2,472.00","2,492.00","2,472.00","64,63K",0.61%
12.04.2022,"2,465.00","2,490.00","2,500.00","2,465.00","277,96K",-0.40%
11.04.2022,"2,475.00","2,480.00","2,504.00","2,475.00","197,34K",-0.40%
08.04.2022,"2,485.00","2,510.00","2,529.00","2,485.00","7,63M",-0.80%
07.04.2022,"2,505.00","2,480.00","2,509.00","2,471.00","3,39M",1.01%
06.04.2022,"2,480.00","2,490.00","2,490.00","2,465.00","704,05K",-0.40%
05.04.2022,"2,490.00","2,500.00","2,500.00","2,478.00","554,56K",0.40%
04.04.2022,"2,480.00","2,490.00","2,496.00","2,475.00","813,62K",0.65%
01.04.2022,"2,464.00","2,499.00","2,530.00","2,460.00","511,34K",-0.24%
31.03.2022,"2,470.00","2,485.00","2,493.00","2,470.00","480,08K",-0.60%
30.03.2022,"2,485.00","2,481.00","2,488.00","2,466.00","864,88K",0.36%
29.03.2022,"2,476.00","2,500.00","2,500.00","2,472.00","2,17M",0.00%
28.03.2022,"2,476.00","2,456.00","2,494.00","2,456.00","9,16M",0.86%
25.03.2022,"2,455.00","2,480.00","2,480.00","2,455.00","985,75K",-1.05%
24.03.2022,"2,481.00","2,510.00","2,510.00","2,480.00","808,36K",-0.36%
23.03.2022,"2,490.00","2,510.00","2,510.00","2,490.00","457,25K",0.00%
22.03.2022,"2,490.00","2,500.00","2,535.00","2,475.00","406,45K",-0.80%
18.03.2022,"2,510.00","2,490.00","2,520.00","2,470.00","3,14M",1.21%
17.03.2022,"2,480.00","2,526.00","2,526.00","2,480.00","355,62K",-1.27%
16.03.2022,"2,512.00","2,530.00","2,530.00","2,504.00","657,21K",-0.12%
15.03.2022,"2,515.00","2,485.00","2,520.00","2,480.00","1,01M",1.82%
14.03.2022,"2,470.00","2,520.00","2,520.00","2,463.00","511,94K",-1.98%
11.03.2022,"2,520.00","2,495.00","2,526.00","2,466.00","742,49K",1.00%
10.03.2022,"2,495.00","2,509.00","2,512.00","2,460.00","1,32M",-0.40%
09.03.2022,"2,505.00","2,470.00","2,509.00","2,470.00","2,46M",1.42%
08.03.2022,"2,470.00","2,480.00","2,507.00","2,470.00","1,36M",0.00%
07.03.2022,"2,470.00","2,465.00","2,480.00","2,460.00","903,80K",0.41%
04.03.2022,"2,460.00","2,478.00","2,493.00","2,460.00","815,78K",-0.73%
03.03.2022,"2,478.00","2,480.00","2,480.00","2,470.00","1,02M",1.56%
02.03.2022,"2,440.00","2,458.00","2,478.00","2,430.00","1,18M",-0.61%
01.03.2022,"2,455.00","2,448.00","2,509.00","2,448.00","2,01M",0.20%
28.02.2022,"2,450.00","2,440.00","2,480.00","2,430.00","1,04M",0.37%
25.02.2022,"2,441.00","2,419.00","2,455.00","2,405.00","321,08K",0.45%
24.02.2022,"2,430.00","2,458.00","2,475.00","2,411.00","1,63M",-1.66%
23.02.2022,"2,471.00","2,483.00","2,499.00","2,431.00","1,52M",0.53%
22.02.2022,"2,458.00","2,495.00","2,533.00","2,451.00","1,45M",-0.97%
21.02.2022,"2,482.00","2,500.00","2,500.00","2,482.00","219,24K",-0.24%
18.02.2022,"2,488.00","2,507.00","2,510.00","2,487.00","654,90K",0.57%
17.02.2022,"2,474.00","2,485.00","2,509.00","2,474.00","829,42K",-0.44%
16.02.2022,"2,485.00","2,514.00","2,549.00","2,485.00","1,30M",-0.12%
15.02.2022,"2,488.00","2,520.00","2,520.00","2,475.00","782,39K",-0.08%
14.02.2022,"2,490.00","2,545.00","2,560.00","2,490.00","1,11M",-1.43%
11.02.2022,"2,526.00","2,540.00","2,555.00","2,510.00","735,59K",0.76%
10.02.2022,"2,507.00","2,590.00","2,598.00","2,505.00","674,67K",-1.69%
09.02.2022,"2,550.00","2,602.00","2,602.00","2,550.00","1,19M",-1.20%
08.02.2022,"2,581.00","2,600.00","2,600.00","2,570.00","386,72K",0.04%
07.02.2022,"2,580.00","2,590.00","2,639.00","2,580.00","490,40K",0.00%
04.02.2022,"2,580.00","2,531.00","2,599.00","2,531.00","443,46K",1.98%
03.02.2022,"2,530.00","2,550.00","2,561.00","2,530.00","692,75K",-1.06%
02.02.2022,"2,557.00","2,610.00","2,610.00","2,557.00","1,15M",-1.27%
01.02.2022,"2,590.00","2,605.00","2,620.00","2,575.00","981,90K",-1.15%
31.01.2022,"2,620.00","2,655.00","2,660.00","2,620.00","915,93K",-1.13%
28.01.2022,"2,650.00","2,650.00","2,666.00","2,650.00","327,58K",0.00%
27.01.2022,"2,650.00","2,665.00","2,667.00","2,650.00","2,02M",0.00%
26.01.2022,"2,650.00","2,640.00","2,650.00","2,613.00","742,79K",0.42%
25.01.2022,"2,639.00","2,601.00","2,639.00","2,600.00","830,41K",1.31%
24.01.2022,"2,605.00","2,580.00","2,623.00","2,561.00","577,40K",0.58%
21.01.2022,"2,590.00","2,605.00","2,610.00","2,590.00","1,43M",-0.65%
