fecha,Nemotecnico,Cantidad,Volumen,Precio Cierre,Precio Mayor,Precio Medio,Precio Menor,Variacion%,Variacion Absoluta
2003-07-03,ISA,147514,153392851,1041.0,1041.0,1039.8528,1038.0,0.39,4.0
2003-07-04,ISA,242684,252284203,1040.0,1040.0,1039.5585,1037.0,-0.1,-1.0
2003-07-07,ISA,148226,154115627,1040.0,1040.0,1039.7341,1039.0,0.0,0.0
2003-07-08,ISA,595995,609217622,1018.0,1030.0,1022.1858,1015.0,-2.12,-22.0
2003-07-09,ISA,171184,173275330,1013.0,1020.0,1012.2169,1010.0,-0.49,-5.0
2003-07-10,ISA,255495,261895228,1029.0,1030.0,1025.0503,1017.0,1.58,16.0
2003-07-11,ISA,91555,95163954,1040.0,1040.0,1039.4184,1040.0,1.07,11.0
2003-07-14,ISA,244440,254484671,1040.0,1046.0,1041.0926,1040.0,0.0,0.0
2003-07-15,ISA,101228,104670853,1025.0,1040.0,1034.0109,1025.0,-1.44,-15.0
2003-07-16,ISA,225647,230057183,1016.0,1020.0,1019.5446,1016.0,-0.88,-9.0
2003-07-17,ISA,125738,127341795,1012.0,1013.0,1012.7551,1012.0,-0.39,-4.0
2003-07-18,ISA,88173,89151768,1001.0,1018.0,1011.1005,1001.0,-1.09,-11.0
2003-07-21,ISA,80440,80742025,1010.0,1010.0,1003.7547,1000.0,0.9,9.0
2003-07-22,ISA,216164,218807590,1013.0,1015.0,1012.2296,1010.0,0.3,3.0
2003-07-23,ISA,96539,97517273,1010.0,1011.0,1010.1334,1010.0,-0.3,-3.0
2003-07-24,ISA,208799,208980018,1000.0,1004.0,1000.8669,999.0,-0.99,-10.0
2003-07-25,ISA,131826,130628002,991.0,991.0,990.9123,990.0,-0.9,-9.0
2003-07-28,ISA,157109,155672596,990.0,992.0,990.8573,990.0,-0.1,-1.0
2003-07-29,ISA,134637,132044784,980.0,985.0,980.7466,980.0,-1.01,-10.0
2003-07-30,ISA,200249,196427557,980.0,985.0,980.9165,980.0,0.0,0.0
2003-07-31,ISA,59533,57810153,970.0,971.0,971.0606,970.0,-1.02,-10.0
2003-08-01,ISA,66365,64518800,980.0,980.0,972.1811,970.0,1.03,10.0
2003-08-04,ISA,28747,27904463,970.0,975.0,970.6913,970.0,-1.02,-10.0
2003-08-05,ISA,203804,196618982,964.0,970.0,964.7455,962.0,-0.62,-6.0
2003-08-06,ISA,138584,133963046,975.0,978.0,966.6559,960.0,1.14,11.0
2003-08-08,ISA,113141,110385148,975.0,976.0,975.6423,970.0,0.0,0.0
2003-08-11,ISA,87101,84493274,970.0,975.0,970.0609,965.0,-0.51,-5.0
2003-08-12,ISA,123490,119362776,965.0,970.0,966.5785,965.0,-0.52,-5.0
2003-08-13,ISA,41773,40076363,960.0,965.0,959.3844,956.0,-0.52,-5.0
2003-08-14,ISA,113303,107758492,951.0,959.0,951.0648,945.0,-0.94,-9.0
2003-08-15,ISA,57687,54789740,950.0,951.0,949.7762,949.0,-0.11,-1.0
2003-08-19,ISA,84346,80265138,956.0,959.0,951.6176,950.0,0.63,6.0
2003-08-20,ISA,122911,117833109,960.0,962.0,958.6864,955.0,0.42,4.0
2003-08-21,ISA,158966,152880273,963.0,963.0,961.7168,959.0,0.31,3.0
2003-08-22,ISA,129425,126074174,981.0,981.0,974.1099,960.0,1.87,18.0
2003-08-25,ISA,38143,37318854,981.0,981.0,978.3933,971.0,0.0,0.0
