Fecha,Último,Apertura,Máximo,Mínimo,% var.
2022-04-13,8.61,8.586,8.61,8.586,0.012199999999999999
2022-12-04,8.506,8.54,8.556000000000001,8.476,-0.0132
2022-11-04,8.62,8.68,8.691,8.62,0.013300000000000001
2022-09-04,8.507,8.507,8.507,8.507,0.0
2022-08-04,8.507,8.395,8.507,8.304,0.0349
2022-07-04,8.22,8.238,8.26,8.16,0.0148
2022-06-04,8.1,8.4,8.45,8.0,-0.0202
2022-05-04,8.267000000000001,8.07,8.298,8.07,0.0334
2022-04-04,8.0,8.202,8.219,8.0,-0.0361
2022-02-04,8.3,8.3,8.3,8.3,0.0
2022-01-04,8.3,8.25,8.4,8.25,-0.0394
2022-03-31,8.64,8.72,8.72,8.601,-0.0163
2022-03-30,8.783,8.71,8.792,8.7,-0.0154
2022-03-29,8.92,8.97,9.075,8.87,-0.013300000000000001
2022-03-28,9.04,9.43,9.43,9.03,-0.03
2022-03-26,9.32,9.32,9.32,9.32,0.0
2022-03-25,9.32,9.215,9.335,9.215,0.020099999999999996
2022-03-24,9.136000000000001,9.1,9.219,9.1,0.0096
2022-03-23,9.049,8.908999999999999,9.049,8.904,0.019799999999999998
2022-03-22,8.873,8.87,8.9,8.8,0.0246
2022-03-20,8.66,8.66,8.66,8.66,0.0
2022-03-19,8.66,8.66,8.66,8.66,0.0
2022-03-18,8.66,8.7,8.722999999999999,8.66,-0.0044
2022-03-17,8.698,8.692,8.7,8.68,-0.0025
2022-03-16,8.72,8.75,8.75,8.7,-0.0051
2022-03-15,8.765,8.8,8.805,8.73,-0.0036
2022-03-14,8.797,8.75,8.84,8.72,0.0134
2022-12-03,8.681000000000001,8.681000000000001,8.681000000000001,8.681000000000001,0.0
2022-11-03,8.681000000000001,8.79,8.807,8.67,-0.0073
2022-10-03,8.745,8.63,8.745,8.63,0.0034000000000000002
2022-09-03,8.715,8.632,8.715,8.632,0.0096
2022-08-03,8.632,8.58,8.725,8.58,0.0060999999999999995
2022-07-03,8.58,8.432,8.58,8.424,0.0313
2022-06-03,8.32,8.32,8.32,8.32,0.0
2022-05-03,8.32,8.32,8.32,8.32,0.0
2022-04-03,8.32,8.124,8.32,8.124,0.023700000000000002
2022-03-03,8.127,8.333,8.333,8.127,-0.0184
2022-02-03,8.279,8.22,8.279,8.141,0.0089
2022-01-03,8.206,8.451,8.451,8.206,-0.0292
2022-02-28,8.453,8.4,8.5,8.4,0.005
2022-02-26,8.411,8.411,8.411,8.411,0.0
