Fecha,Último,Apertura,Máximo,Mínimo,% var.
20.05.2022,11.321,11.45,11.599,11.304,-1.98%
19.05.2022,11.55,11.5,11.57,11.35,-1.03%
18.05.2022,11.67,11.86,11.86,11.67,-1.11%
17.05.2022,11.801,11.55,11.869,11.55,2.17%
16.05.2022,11.55,11.4,11.55,11.4,1.48%
13.05.2022,11.381,11.051,11.4,11.051,1.62%
12.05.2022,11.2,11.22,11.22,11.092,1.17%
11.05.2022,11.07,11.082,11.11,11.058,0.64%
10.05.2022,11,10.919,11.035,10.86,0.74%
09.05.2022,10.919,10.9,10.998,10.9,1.52%
06.05.2022,10.756,10.8,10.875,10.756,1.33%
05.05.2022,10.615,10.497,10.659,10.497,2.46%
04.05.2022,10.36,10.5,10.54,10.321,-0.38%
03.05.2022,10.4,10.6,10.6,10.394,-1.89%
02.05.2022,10.6,10.599,10.65,10.57,2.71%
29.04.2022,10.32,10.3,10.37,10.3,0.59%
28.04.2022,10.259,10.18,10.259,10.18,1.57%
27.04.2022,10.1,10.24,10.24,10.1,0.00%
26.04.2022,10.1,9.99,10.118,9.99,1.10%
25.04.2022,9.99,10.03,10.07,9.975,0.60%
22.04.2022,9.93,9.785,9.95,9.75,1.85%
21.04.2022,9.75,9.83,9.848,9.75,-0.31%
20.04.2022,9.78,9.77,9.83,9.77,-0.31%
19.04.2022,9.81,9.778,9.81,9.74,1.55%
18.04.2022,9.66,9.783,9.84,9.62,1.06%
13.04.2022,9.559,9.56,9.56,9.559,0.62%
12.04.2022,9.5,9.6,9.6,9.5,-2.21%
11.04.2022,9.715,9.78,9.8,9.71,1.20%
09.04.2022,9.6,9.6,9.6,9.6,0.00%
08.04.2022,9.6,9.4,9.64,9.4,2.87%
07.04.2022,9.332,9.251,9.332,9.18,1.99%
06.04.2022,9.15,9.5,9.568,9.15,-2.66%
05.04.2022,9.4,9.2,9.402,9.2,1.08%
04.04.2022,9.3,9.4,9.4,9.3,-2.79%
01.04.2022,9.567,9.56,9.567,9.52,-1.68%
31.03.2022,9.73,9.74,9.812,9.73,-0.37%
30.03.2022,9.766,9.65,9.766,9.6,0.47%
29.03.2022,9.72,9.88,9.933,9.72,-3.78%
28.03.2022,10.102,10.4,10.4,10.102,-1.06%
25.03.2022,10.21,10.097,10.23,10.09,2.10%
24.03.2022,10,9.18,10.113,9.18,0.50%
23.03.2022,9.95,9.718,9.95,9.718,1.98%
22.03.2022,9.757,9.732,9.81,9.732,0.90%
20.03.2022,9.67,9.67,9.67,9.67,0.00%
19.03.2022,9.67,9.67,9.67,9.67,0.00%
18.03.2022,9.67,9.712,9.724,9.67,0.10%
17.03.2022,9.66,9.71,9.71,9.618,-0.36%
16.03.2022,9.695,9.723,9.743,9.68,-0.26%
15.03.2022,9.72,9.729,9.73,9.69,-0.51%
14.03.2022,9.77,9.758,9.8,9.758,0.67%
12.03.2022,9.705,9.705,9.705,9.705,0.00%
11.03.2022,9.705,9.79,9.825,9.705,-0.58%
10.03.2022,9.762,9.72,9.762,9.7,-0.39%
09.03.2022,9.8,9.81,9.81,9.738,-0.10%
08.03.2022,9.81,9.66,9.81,9.66,1.55%
07.03.2022,9.66,9.64,9.7,9.64,2.33%
06.03.2022,9.44,9.44,9.44,9.44,0.00%
04.03.2022,9.44,9.271,9.44,9.271,2.05%
03.03.2022,9.25,9.41,9.41,9.24,-1.18%
02.03.2022,9.36,9.32,9.374,9.28,0.43%
01.03.2022,9.32,9.42,9.42,9.32,-2.00%
28.02.2022,9.51,9.556,9.556,9.481,1.06%
26.02.2022,9.41,9.41,9.41,9.41,0.00%
25.02.2022,9.41,9.35,9.474,9.35,-0.82%
24.02.2022,9.488,9.51,9.51,9.42,2.57%
23.02.2022,9.25,9.21,9.25,9.201,1.08%
22.02.2022,9.151,9.16,9.16,9.14,1.12%
21.02.2022,9.05,9.05,9.05,9.05,0.56%
20.02.2022,9,9,9,9,0.00%
18.02.2022,9,8.98,9.03,8.98,-0.11%
17.02.2022,9.01,9,9.087,9,0.56%
