Fecha,Último,Apertura,Máximo,Mínimo,% var.
23.05.2022,"3,942.67","3,972.00","3,994.00","3,925.08",-0.74%
22.05.2022,"3,972.00","3,979.33","3,979.33","3,972.00",0.18%
20.05.2022,"3,964.95","4,054.72","4,055.20","3,959.00",-2.04%
19.05.2022,"4,047.67","4,072.96","4,072.96","4,037.00",-0.45%
18.05.2022,"4,065.91","4,030.50","4,074.75","4,018.63",1.06%
17.05.2022,"4,023.45","4,055.00","4,057.49","4,013.00",-0.61%
16.05.2022,"4,047.95","4,110.50","4,115.06","4,045.50",-1.35%
13.05.2022,"4,103.45","4,109.98","4,121.00","4,094.16",0.01%
12.05.2022,"4,102.93","4,083.75","4,133.00","4,076.29",0.64%
11.05.2022,"4,076.70","4,078.00","4,105.00","4,065.55",0.14%
10.05.2022,"4,070.95","4,091.00","4,103.50","4,062.00",-0.32%
09.05.2022,"4,083.95","4,057.75","4,101.00","4,049.00",0.82%
06.05.2022,"4,050.70","4,088.25","4,091.59","4,029.48",-0.75%
05.05.2022,"4,081.20","4,068.25","4,106.65","4,055.00",0.49%
04.05.2022,"4,061.20","4,030.00","4,078.90","4,020.00",0.95%
03.05.2022,"4,022.95","4,009.98","4,031.00","3,984.50",0.50%
02.05.2022,"4,002.93","3,958.00","4,017.00","3,955.02",1.32%
29.04.2022,"3,950.95","3,984.95","3,987.93","3,951.35",-0.68%
28.04.2022,"3,977.90","3,955.00","3,999.75","3,954.79",0.76%
27.04.2022,"3,947.95","3,944.70","3,986.95","3,942.73",0.26%
26.04.2022,"3,937.65","3,936.50","3,965.10","3,933.03",0.21%
25.04.2022,"3,929.45","3,856.00","3,959.67","3,852.08",2.01%
22.04.2022,"3,852.01","3,774.00","3,859.00","3,772.12",2.18%
21.04.2022,"3,770.01","3,759.41","3,777.00","3,747.00",0.39%
20.04.2022,"3,755.41","3,749.50","3,769.16","3,743.50",0.26%
19.04.2022,"3,745.50","3,732.50","3,768.00","3,732.50",0.46%
18.04.2022,"3,728.51","3,723.00","3,744.00","3,716.71",0.26%
15.04.2022,"3,719.01","3,743.00","3,744.00","3,723.00",-0.44%
14.04.2022,"3,735.27","3,723.00","3,747.00","3,720.73",0.44%
13.04.2022,"3,719.01","3,753.33","3,762.00","3,718.25",-0.78%
12.04.2022,"3,748.15","3,739.00","3,768.00","3,710.01",0.38%
11.04.2022,"3,733.82","3,757.00","3,762.00","3,732.01",-0.48%
08.04.2022,"3,751.82","3,769.46","3,798.00","3,749.00",-0.33%
07.04.2022,"3,764.27","3,752.00","3,780.00","3,740.00",0.47%
06.04.2022,"3,746.82","3,740.96","3,762.00","3,725.00",0.30%
05.04.2022,"3,735.77","3,704.50","3,749.91","3,693.00",0.99%
04.04.2022,"3,699.32","3,749.05","3,754.40","3,690.00",-1.19%
01.04.2022,"3,743.87","3,773.00","3,797.96","3,749.05",-0.64%
31.03.2022,"3,767.82","3,753.71","3,773.00","3,746.46",0.51%
30.03.2022,"3,748.52","3,755.16","3,766.96","3,737.53",-0.07%
29.03.2022,"3,751.16","3,785.21","3,786.65","3,755.16",-0.79%
28.03.2022,"3,781.21","3,794.66","3,808.00","3,775.00",-0.25%
25.03.2022,"3,790.66","3,787.00","3,800.00","3,760.21",0.20%
24.03.2022,"3,783.01","3,783.50","3,817.00","3,775.00",0.09%
23.03.2022,"3,779.51","3,760.51","3,792.00","3,732.00",0.61%
22.03.2022,"3,756.52","3,800.00","3,818.75","3,751.50",-1.04%
21.03.2022,"3,796.01","3,818.75","3,820.82","3,800.00",-0.49%
18.03.2022,"3,814.76","3,825.00","3,838.01","3,805.05",-0.16%
17.03.2022,"3,821.01","3,835.00","3,841.49","3,805.16",-0.26%
16.03.2022,"3,831.01","3,829.00","3,840.00","3,811.41",0.16%
15.03.2022,"3,825.01","3,797.60","3,853.96","3,787.25",0.83%
14.03.2022,"3,793.61","3,820.00","3,830.00","3,771.00",-0.59%
11.03.2022,"3,816.01","3,822.00","3,847.75","3,805.43",-0.05%
10.03.2022,"3,818.01","3,743.00","3,838.00","3,743.00",2.11%
09.03.2022,"3,739.01","3,771.05","3,771.05","3,727.80",-0.74%
08.03.2022,"3,767.06","3,813.00","3,815.00","3,767.95",-1.10%
07.03.2022,"3,809.01","3,830.00","3,830.00","3,798.50",-0.44%
04.03.2022,"3,826.01","3,759.45","3,830.20","3,757.56",1.88%
03.03.2022,"3,755.45","3,838.00","3,838.00","3,745.60",-2.05%
02.03.2022,"3,834.01","3,883.00","3,890.70","3,834.59",-1.16%
01.03.2022,"3,879.01","3,937.00","3,947.00","3,880.55",-1.37%
